order_id,customer_id,order_date,region_id,store_id,order_status,shipping_method,shipping_cost,discount_amount,tax_amount,order_total
45,7194,2024-10-21,4,9,Completed,Standard,5.05,0.0,8.73,138.51
46,6111,2025-12-31,5,11,Completed,Economy,3.15,20.61,15.47,239.68
47,12866,2024-03-03,5,11,Completed,Express,13.28,0.0,5.81,102.11
48,5166,2024-06-02,3,5,Completed,Standard,4.1,6.81,28.55,440.46
49,10207,2025-04-14,8,18,Cancelled,Express,19.58,33.44,30.55,486.51
50,9412,2025-11-29,3,8,Completed,Economy,2.36,0.0,1.2,20.69
51,10436,2024-06-15,2,4,Completed,Economy,2.82,24.88,33.09,508.62
52,9610,2025-04-21,4,9,Completed,Economy,2.84,3.04,4.04,64.66
53,7583,2024-10-31,7,16,Completed,Economy,3.98,30.68,23.57,364.28
54,1367,2025-04-17,7,17,Completed,Economy,3.73,0.0,2.41,40.52
55,10529,2024-08-22,1,3,Completed,Economy,2.48,8.16,3.24,51.98
56,12068,2025-11-08,1,1,Completed,Standard,4.55,3.25,6.76,107.81
57,5996,2024-02-23,1,1,Completed,Standard,5.12,15.95,8.94,141.8
58,10718,2025-07-05,8,18,Completed,Next-Day,26.23,5.74,12.52,217.65
59,12289,2025-01-05,7,17,Completed,Express,15.4,4.87,18.93,304.71
60,1964,2025-01-08,3,7,Completed,Standard,4.4,0.0,4.73,76.67
61,1557,2025-06-20,4,9,Completed,Standard,5.39,32.7,20.6,320.25
62,1777,2024-11-17,7,16,Completed,Express,15.0,0.0,2.71,56.49
63,10997,2025-05-05,1,2,Completed,Express,10.79,0.0,0.53,18.86
64,11070,2025-10-31,2,4,Completed,Standard,4.78,0.0,22.24,344.74
65,6965,2025-06-01,5,11,Completed,Standard,5.52,21.93,8.7,138.51
66,13901,2025-12-31,3,5,Completed,Standard,3.53,12.69,8.86,138.97
67,4185,2025-10-17,5,11,Completed,Economy,2.95,26.53,13.3,206.18
68,13215,2025-10-19,3,8,Completed,Express,11.09,9.73,6.13,104.83
69,14541,2025-08-20,4,9,Pending,Standard,4.64,0.0,2.4,41.29
70,3713,2024-04-21,1,3,Completed,Express,12.49,1.84,2.45,49.88
71,5347,2025-03-23,7,16,Completed,Express,16.78,4.96,11.57,193.57
72,5157,2023-10-28,1,2,Completed,Express,12.23,16.71,9.07,150.8
73,11076,2025-07-18,5,10,Completed,Standard,5.21,5.62,6.29,101.34
74,2855,2024-12-07,5,10,Completed,Standard,5.6,9.61,3.81,63.86
75,9680,2025-10-15,8,20,Completed,Standard,6.6,0.0,1.78,33.85
76,12181,2025-12-06,1,3,Returned,Standard,4.92,12.47,20.27,314.72
77,11421,2025-06-01,5,10,Completed,Standard,5.15,4.77,6.34,102.06
78,3355,2025-10-09,2,4,Cancelled,Standard,4.56,15.53,14.21,221.73
79,2984,2025-04-18,8,19,Completed,Express,19.13,0.0,4.34,85.45
80,2789,2025-07-20,1,1,Completed,Standard,4.82,20.85,13.14,205.65
81,3504,2025-11-08,3,8,Cancelled,Standard,4.59,72.71,27.52,425.32
82,2775,2024-02-15,2,4,Completed,Standard,4.09,0.0,27.79,428.92
83,13778,2025-07-13,7,16,Completed,Standard,6.22,0.0,3.29,56.49
84,6469,2025-09-27,4,9,Completed,Next-Day,19.36,0.0,41.56,654.7
85,11309,2025-02-19,1,3,Completed,Standard,3.86,17.4,20.68,319.93
86,11919,2025-06-07,5,11,Returned,Standard,6.74,51.0,39.01,602.97
87,6446,2023-05-17,1,3,Completed,Standard,3.93,0.0,8.69,136.74
88,6266,2025-09-23,5,11,Completed,Standard,4.59,0.0,1.84,32.72
89,5246,2025-12-03,5,10,Completed,Standard,4.91,5.27,1.48,27.47
90,11935,2025-12-31,1,2,Completed,Standard,4.4,15.84,5.59,89.88
91,5634,2025-09-04,7,17,Completed,Economy,4.36,0.0,8.11,128.27
92,3710,2025-01-01,4,9,Completed,Standard,4.94,21.02,5.88,94.88
93,14350,2024-02-27,1,1,Completed,Next-Day,18.22,2.52,3.36,69.54
94,9883,2025-06-24,7,16,Completed,Express,17.81,10.09,2.83,61.01
95,8437,2025-12-31,1,2,Completed,Standard,4.58,1.07,0.3,9.15
96,13561,2023-11-29,2,4,Completed,Standard,5.13,6.95,4.38,72.08
97,9034,2025-12-31,8,18,Completed,Standard,7.56,56.93,30.93,480.32
98,9157,2025-10-30,1,2,Completed,Standard,4.87,7.33,11.33,177.99
99,9566,2025-11-13,1,2,Completed,Next-Day,18.46,54.56,34.38,543.93
100,7224,2024-10-02,1,2,Completed,Express,12.19,24.11,12.79,207.65
101,14191,2024-08-15,8,18,Completed,Standard,6.49,0.0,3.73,63.48
102,5176,2024-04-09,1,1,Completed,Standard,5.09,16.28,10.26,161.87
103,6259,2024-01-09,8,20,Returned,Economy,3.51,17.47,4.89,78.29
104,6364,2025-11-08,8,19,Completed,Standard,7.47,10.55,14.04,222.02
105,7561,2025-11-29,5,10,Completed,Economy,3.19,4.76,6.33,99.9
106,4750,2025-05-24,3,8,Completed,Express,10.87,30.35,4.96,86.64
107,3821,2025-12-18,4,9,Completed,Express,12.89,79.74,34.8,544.81
108,12781,2024-04-17,3,6,Completed,Standard,3.51,22.97,11.99,186.72
109,7886,2024-08-17,7,17,Completed,Standard,7.0,13.83,7.48,121.33
110,10056,2025-08-11,3,5,Completed,Express,11.01,5.93,19.45,308.33
111,2900,2025-12-31,7,16,Completed,Standard,6.43,136.2,46.97,724.34
112,4587,2024-04-14,3,7,Completed,Standard,4.16,42.16,16.23,252.23
113,14790,2025-11-21,1,1,Completed,Express,11.17,40.92,24.87,391.36
114,175,2025-12-16,2,4,Completed,Standard,4.59,0.0,36.66,564.93
115,4703,2024-06-03,3,5,Completed,Economy,2.66,107.66,48.36,741.91
116,8110,2025-12-31,1,1,Completed,Next-Day,16.29,29.86,8.36,144.09
117,4718,2025-10-12,3,6,Completed,Economy,2.49,19.57,15.01,231.97
118,3195,2024-11-24,8,19,Completed,Standard,8.29,11.89,32.11,499.12
119,11634,2025-04-02,8,20,Completed,Standard,7.13,16.07,25.91,403.24
120,12761,2025-05-04,5,11,Completed,Next-Day,20.72,6.69,3.11,68.26
121,12711,2025-10-10,4,9,Completed,Standard,4.94,1.28,0.81,17.28
122,79,2024-09-25,3,7,Completed,Standard,4.58,6.32,8.82,139.36
123,5981,2025-12-31,2,4,Completed,Economy,2.49,16.65,3.29,52.73
124,5056,2024-02-11,2,4,Completed,Express,11.16,3.94,3.46,63.98
125,5421,2024-10-17,1,3,Cancelled,Standard,4.33,167.78,36.87,567.89
126,12736,2025-02-15,1,2,Completed,Express,13.54,0.0,29.91,470.71
127,2227,2025-11-11,4,9,Completed,Standard,4.72,49.34,54.61,839.53
128,1764,2024-06-23,1,3,Completed,Standard,4.38,1.54,33.13,510.84
129,14105,2023-07-03,8,19,Completed,Express,20.74,0.0,16.67,275.56
130,12866,2023-09-27,5,10,Completed,Economy,3.52,69.84,39.32,604.54
131,3116,2025-11-25,5,10,Completed,Standard,4.79,108.41,22.77,352.79
132,1176,2025-12-31,7,17,Completed,Express,16.37,14.68,3.36,67.72
133,3767,2024-06-04,1,3,Completed,Standard,3.58,1.75,6.85,108.26
134,4712,2025-10-22,4,9,Completed,Express,12.18,0.0,8.3,139.06
135,399,2025-12-22,1,3,Completed,Economy,2.77,41.91,36.5,560.7
136,1221,2024-01-01,1,2,Completed,Standard,3.87,6.19,12.16,189.8
137,5165,2025-12-31,7,17,Completed,Standard,7.09,98.65,19.87,310.88
138,4182,2025-06-01,5,10,Completed,Standard,5.73,59.04,23.42,363.69
139,5907,2025-11-29,3,8,Completed,Standard,4.36,58.9,55.62,854.6
140,13184,2025-12-31,7,16,Completed,Standard,6.51,36.25,48.22,743.59
141,121,2024-08-08,4,9,Completed,Standard,6.18,25.03,9.93,157.94
142,10285,2025-04-15,2,4,Cancelled,Standard,4.76,28.73,35.88,553.27
143,14391,2024-08-02,3,7,Completed,Standard,4.16,0.0,1.06,20.42
144,9146,2024-07-13,5,11,Completed,Standard,5.02,6.13,8.15,129.65
145,11214,2024-10-22,2,4,Cancelled,Economy,2.91,7.29,2.89,47.13
146,6515,2025-09-03,2,4,Cancelled,Next-Day,17.36,9.57,13.24,219.8
147,4555,2025-06-27,3,8,Completed,Standard,4.36,14.83,9.58,150.78
148,2355,2025-10-02,3,5,Completed,Standard,3.94,28.18,22.66,350.26
149,10975,2024-07-29,8,19,Completed,Standard,7.26,4.59,9.48,152.11
150,2178,2025-11-05,4,9,Completed,Standard,4.08,3.44,2.16,37.16
151,6101,2025-12-15,2,4,Completed,Standard,4.73,10.21,4.68,76.26
152,8229,2025-08-06,4,9,Completed,Express,13.39,0.0,10.7,177.01
153,5058,2025-08-29,4,9,Completed,Standard,5.37,3.48,37.76,582.51
154,3066,2025-11-02,1,3,Completed,Standard,5.27,16.29,9.52,150.74
155,11131,2024-01-28,4,9,Completed,Express,13.72,27.02,17.02,273.92
156,45,2025-02-28,3,5,Completed,Express,11.67,29.61,11.17,182.38
157,3763,2025-03-21,1,3,Completed,Standard,3.79,34.81,8.53,134.13
158,14059,2024-09-08,4,9,Completed,Express,11.45,0.0,0.53,19.62
159,7509,2025-03-21,1,1,Completed,Standard,4.04,18.56,22.24,343.97
160,6507,2024-12-29,5,10,Completed,Express,13.31,47.55,16.12,259.73
161,297,2024-09-26,1,3,Completed,Express,10.8,7.27,9.66,158.5
162,12234,2024-06-08,3,7,Completed,Standard,3.77,0.0,3.61,58.9
163,14181,2023-12-30,2,4,Completed,Next-Day,17.93,15.87,10.85,183.85
164,13339,2025-09-11,3,5,Completed,Standard,4.04,6.3,8.38,132.1
165,6094,2025-11-03,1,1,Completed,Economy,2.56,79.64,33.23,510.48
166,5368,2024-02-22,2,4,Completed,Standard,5.1,20.61,12.99,203.6
167,7202,2024-10-11,3,6,Completed,Standard,3.84,8.82,5.56,88.78
168,10958,2024-01-02,8,20,Completed,Standard,6.13,24.29,26.89,417.12
169,7784,2025-07-31,8,20,Completed,Express,21.31,91.22,35.63,565.94
170,11931,2025-12-15,1,3,Completed,Standard,4.47,1.73,5.32,85.79
171,5231,2024-06-25,2,4,Completed,Next-Day,19.82,0.0,33.88,537.77
172,6711,2025-05-12,5,11,Completed,Standard,5.83,44.44,21.71,337.63
173,12545,2025-11-19,7,17,Completed,Standard,7.19,35.66,33.33,516.6
174,8296,2025-07-04,4,9,Completed,Express,12.47,0.41,0.55,20.9
175,6047,2025-06-24,3,8,Completed,Next-Day,15.95,3.06,4.08,78.25
176,5287,2024-04-17,4,9,Completed,Standard,4.4,0.0,2.36,40.5
177,1213,2025-12-31,2,4,Completed,Express,11.95,215.28,69.31,1071.46
178,5666,2024-10-11,2,4,Completed,Express,12.48,19.35,24.16,381.75
179,4830,2025-12-31,3,8,Completed,Standard,4.43,1.56,22.75,352.23
180,2054,2025-04-13,7,17,Completed,Next-Day,22.09,0.0,30.74,491.91
181,9044,2025-11-22,4,9,Completed,Economy,3.38,54.25,24.64,380.01
182,11997,2025-12-31,6,13,Completed,Next-Day,24.51,72.07,13.98,238.16
183,14818,2025-02-08,2,4,Completed,Standard,4.55,54.88,24.92,385.45
184,1672,2025-09-17,8,18,Completed,Standard,8.12,0.0,15.67,247.7
185,10464,2025-12-11,5,11,Completed,Standard,4.7,8.76,2.45,42.21
186,4257,2025-11-25,5,10,Completed,Economy,3.17,227.05,45.68,701.38
187,13628,2023-10-30,5,11,Completed,Express,14.46,15.39,6.1,107.77
188,5237,2025-09-11,8,20,Completed,Standard,8.26,1.57,22.6,353.69
189,5242,2023-11-25,6,14,Completed,Standard,5.63,3.36,0.94,19.99
190,14234,2025-11-25,7,17,Completed,Standard,6.87,51.81,15.07,237.21
191,13326,2024-05-02,6,13,Completed,Economy,3.94,75.81,31.42,484.19
192,8786,2025-08-02,2,4,Completed,Standard,4.96,10.84,49.83,766.63
193,12642,2024-04-27,8,19,Completed,Standard,7.05,2.35,6.77,110.54
194,8575,2025-12-09,3,8,Completed,Express,10.81,81.0,20.63,326.09
195,12851,2024-11-10,7,17,Completed,Standard,7.6,58.8,61.51,947.79
196,7170,2024-06-26,3,7,Completed,Express,10.27,0.82,0.52,18.18
197,13297,2024-08-26,6,15,Completed,Express,17.42,2.05,0.81,29.82
198,10937,2024-08-12,4,9,Completed,Standard,4.96,0.0,4.23,69.67
199,2960,2025-12-07,4,9,Completed,Economy,3.25,12.62,38.02,584.39
200,9588,2025-02-09,4,9,Completed,Express,13.58,0.0,20.22,322.6
201,1629,2025-08-10,3,8,Cancelled,Economy,2.37,0.0,4.75,74.92
202,1007,2025-12-31,4,9,Completed,Next-Day,21.25,1.01,1.34,41.75
203,7282,2025-05-12,3,6,Completed,Next-Day,15.66,30.25,9.89,166.77
204,10627,2023-12-21,1,3,Completed,Express,12.11,18.83,22.49,355.95
205,2558,2024-12-07,6,15,Completed,Express,17.51,85.5,23.94,383.45
206,4046,2025-06-04,5,10,Completed,Standard,5.21,0.0,34.51,532.76
207,10014,2025-11-24,1,1,Completed,Standard,5.28,3.17,2.0,35.8
208,10432,2025-05-22,7,17,Completed,Express,15.07,22.27,25.44,403.96
209,7414,2025-11-22,3,5,Completed,Express,10.7,0.61,0.81,23.08
210,14906,2024-04-16,3,6,Returned,Standard,4.8,2.32,3.09,51.97
211,8786,2025-07-04,2,4,Completed,Standard,5.48,0.0,7.24,116.16
212,3900,2025-12-22,1,3,Completed,Standard,4.57,14.72,5.84,93.85
213,9343,2025-08-04,7,16,Completed,Standard,6.76,0.0,11.88,188.36
214,14031,2024-07-14,1,2,Completed,Economy,3.06,6.61,3.26,52.94
215,541,2025-11-22,4,9,Completed,Standard,4.65,77.36,48.27,742.42
216,4870,2025-03-17,4,9,Completed,Standard,5.63,0.0,20.78,323.32
217,2848,2024-06-06,3,5,Completed,Next-Day,18.13,0.0,3.59,73.0
218,285,2024-03-20,8,18,Completed,Express,18.04,7.57,5.88,107.94
219,9517,2024-05-02,3,5,Completed,Express,11.41,13.61,5.73,98.95
220,14493,2025-08-30,6,12,Cancelled,Economy,3.86,27.6,18.63,288.64
221,4325,2023-10-03,6,14,Returned,Economy,3.53,5.2,6.91,109.16
222,10654,2025-12-31,4,9,Completed,Standard,5.16,62.64,40.79,628.6
223,12010,2024-08-02,6,12,Completed,Standard,5.95,9.32,20.17,314.2
224,2119,2025-12-31,3,5,Completed,Standard,4.37,23.02,4.83,78.24
225,1759,2025-10-06,6,14,Completed,Standard,6.53,0.0,7.9,127.29
226,14271,2025-12-31,7,17,Completed,Economy,3.67,0.0,13.49,209.86
227,6169,2025-06-02,5,11,Completed,Standard,5.35,0.4,6.19,100.01
228,459,2025-08-22,1,2,Returned,Standard,4.64,31.3,19.72,306.1
229,7952,2024-07-19,5,11,Completed,Standard,5.19,8.98,5.66,91.66
230,7750,2024-02-23,6,15,Completed,Express,16.8,21.9,17.03,277.07
231,383,2025-04-17,2,4,Completed,Standard,4.23,24.07,34.89,537.55
232,4235,2025-06-09,4,9,Completed,Express,11.36,0.0,9.93,163.09
233,5785,2025-08-28,4,9,Completed,Standard,4.67,20.22,23.0,356.31
234,12211,2025-09-09,5,10,Completed,Next-Day,21.95,45.36,16.24,270.24
235,10262,2025-08-23,3,5,Completed,Standard,4.13,1.72,2.29,39.14
236,9427,2025-03-11,2,4,Completed,Standard,4.48,19.98,6.14,98.38
237,8977,2025-09-27,5,11,Completed,Next-Day,24.97,17.37,21.33,350.98
238,10379,2024-08-09,3,6,Completed,Standard,4.1,26.85,17.0,263.98
239,9167,2024-11-10,1,3,Completed,Express,11.67,3.68,1.33,31.99
240,1893,2025-09-29,1,2,Completed,Economy,2.64,0.0,17.5,270.21
241,11466,2025-06-17,3,8,Cancelled,Standard,4.26,2.41,32.77,505.2
242,4227,2025-02-10,1,3,Completed,Next-Day,17.72,28.59,9.72,166.31
243,7714,2025-08-06,4,9,Completed,Express,14.26,7.44,9.9,165.59
244,14750,2025-09-01,2,4,Completed,Standard,4.5,0.0,23.63,365.75
245,9589,2025-12-27,1,2,Completed,Standard,4.32,12.19,9.42,148.27
246,6288,2024-02-03,5,11,Completed,Express,11.8,125.9,55.17,855.17
247,1756,2025-12-31,6,13,Completed,Express,15.6,27.57,24.84,395.28
248,3041,2025-07-25,7,17,Completed,Express,17.32,6.06,11.47,192.63
249,1776,2025-12-31,6,12,Completed,Standard,6.65,0.0,34.79,538.45
250,635,2023-12-03,3,5,Completed,Express,12.89,1.29,17.89,286.35
251,4932,2024-10-19,5,10,Completed,Standard,4.35,0.0,7.9,125.09
252,4693,2024-02-03,3,7,Cancelled,Standard,4.35,10.72,24.38,376.95
253,914,2025-07-30,7,16,Completed,Standard,5.97,3.48,2.19,39.46
254,3708,2023-12-31,7,17,Completed,Economy,3.55,40.78,13.55,210.61
255,14792,2023-10-31,7,17,Completed,Express,15.84,3.62,35.64,560.62
256,10442,2025-03-08,8,19,Returned,Standard,6.96,0.0,3.38,58.62
257,4882,2025-04-09,4,9,Completed,Standard,4.5,6.22,1.02,20.03
258,14353,2024-06-27,3,7,Completed,Next-Day,16.44,67.45,31.94,504.7
259,13830,2025-06-06,1,3,Completed,Standard,4.49,12.9,17.15,266.7
260,11895,2024-03-09,2,4,Completed,Express,11.79,12.84,45.56,708.23
261,10977,2025-12-28,7,17,Completed,Express,17.9,0.0,30.12,478.33
262,12459,2024-02-22,1,2,Completed,Next-Day,20.81,2.38,0.39,26.77
263,10350,2025-07-19,4,9,Completed,Express,13.03,0.0,1.61,37.64
264,8231,2025-09-05,1,2,Completed,Express,11.29,0.0,3.54,65.33
265,12191,2023-11-28,6,13,Completed,Standard,6.13,17.39,2.84,49.56
266,8611,2024-04-08,5,11,Completed,Standard,6.2,19.91,7.9,126.91
267,6279,2025-12-22,5,10,Completed,Standard,5.42,69.62,25.96,402.21
268,12281,2025-12-27,6,15,Completed,Standard,5.41,42.62,12.9,202.63
269,4070,2025-07-21,6,12,Completed,Next-Day,27.33,15.14,22.03,364.04
270,3080,2025-08-26,3,8,Completed,Next-Day,15.07,13.28,9.1,154.1
271,1559,2025-12-31,1,2,Completed,Express,10.99,75.32,46.17,716.7
272,10072,2024-11-12,1,3,Completed,Standard,4.67,3.44,2.17,37.83
273,14907,2025-12-31,1,2,Completed,Standard,3.82,28.28,16.14,250.57
274,11025,2025-12-31,2,4,Completed,Express,13.21,182.43,31.03,487.55
275,3583,2025-04-13,5,10,Completed,Express,13.92,43.16,16.59,267.49
276,6611,2024-12-04,7,17,Completed,Standard,5.37,10.32,4.09,67.92
277,14117,2025-12-31,5,11,Completed,Standard,4.29,0.0,5.18,83.53
278,9694,2025-11-25,1,2,Completed,Standard,4.85,0.0,8.84,139.94
279,8161,2025-08-21,2,4,Completed,Standard,5.49,0.0,3.5,58.97
280,2919,2025-08-25,1,2,Completed,Standard,4.41,24.16,11.66,182.69
281,113,2025-01-12,4,9,Completed,Standard,5.28,0.38,0.5,12.96
282,13590,2025-05-12,1,2,Completed,Standard,4.38,23.27,4.89,79.08
283,6274,2025-10-25,1,3,Completed,Standard,4.51,0.0,6.12,98.01
284,394,2024-11-29,5,10,Completed,Standard,5.6,0.0,9.64,152.96
285,8037,2025-08-10,1,3,Completed,Next-Day,19.48,0.0,3.54,73.58
286,4582,2024-02-26,4,9,Completed,Next-Day,21.42,28.0,43.94,693.07
287,13424,2024-11-02,3,6,Completed,Express,9.93,5.52,1.55,33.56
288,11322,2025-01-12,5,11,Cancelled,Economy,3.33,0.34,9.82,153.46
289,2462,2025-10-08,4,9,Returned,Standard,5.33,12.77,3.13,53.15
290,9299,2024-11-05,4,9,Completed,Standard,5.14,4.25,12.94,202.89
291,3922,2025-12-31,1,1,Completed,Express,11.18,7.65,2.14,43.94
292,12073,2025-07-26,3,6,Completed,Economy,2.49,16.28,17.32,267.23
293,4715,2025-12-31,4,9,Completed,Express,13.04,67.47,30.69,482.15
294,12667,2023-10-06,3,7,Completed,Standard,4.21,1.62,11.86,185.55
295,5748,2025-12-06,6,14,Completed,Standard,6.49,0.0,2.39,43.04
296,8898,2025-07-12,2,4,Completed,Economy,2.62,0.0,0.57,11.36
297,5739,2024-09-21,3,5,Returned,Express,10.8,0.75,4.53,80.08
298,3626,2025-12-24,4,9,Completed,Next-Day,21.07,4.8,19.65,321.39
299,6810,2025-12-31,4,9,Completed,Standard,5.13,26.22,22.7,352.12
300,9349,2025-10-30,6,14,Completed,Standard,6.4,0.0,8.45,135.63
301,924,2024-09-22,2,4,Completed,Economy,2.67,11.96,4.22,67.14
302,9536,2024-11-11,2,4,Completed,Express,11.78,10.35,6.52,111.48
303,5674,2025-08-24,8,19,Completed,,7.58,2.42,3.21,56.7
304,4069,2024-06-17,1,2,Completed,Standard,4.5,2.98,0.84,17.28
305,10707,2025-10-16,4,9,Completed,Express,11.35,47.5,25.64,403.24
306,2578,2025-06-23,5,11,Completed,Economy,3.23,6.22,19.33,298.71
307,4461,2025-11-28,1,3,Completed,Next-Day,18.11,5.01,6.66,119.97
308,14150,2024-01-24,2,4,Completed,Express,10.58,1.96,9.89,161.7
309,14370,2025-12-31,2,4,Completed,Standard,4.72,49.38,8.07,128.02
310,10533,2025-12-31,3,8,Completed,Express,11.27,0.0,8.5,141.14
311,1635,2025-12-06,2,4,Completed,Standard,4.61,50.06,13.23,206.87
312,5597,2024-06-03,3,7,Completed,Standard,3.65,15.58,30.1,463.68
313,13531,2024-10-29,6,13,Completed,Standard,6.4,12.19,18.94,295.98
314,3568,2024-11-12,3,8,Completed,Standard,3.96,6.8,16.36,254.08
315,5882,2024-07-12,8,20,Completed,Standard,7.78,4.47,2.82,50.83
316,10238,2025-06-10,4,9,Completed,Standard,5.12,0.0,24.37,377.57
317,1350,2025-12-01,1,2,Completed,Standard,5.2,85.8,16.52,257.78
318,323,2025-11-10,5,11,Cancelled,Express,14.64,6.34,1.33,34.99
319,2060,2024-12-21,4,9,Completed,Next-Day,19.52,124.21,25.51,409.46
320,129,2024-08-20,6,14,Returned,Economy,3.89,0.0,6.58,104.53
321,6846,2025-06-26,3,8,Completed,Standard,3.67,3.83,5.29,84.54
322,584,2025-02-08,3,5,Completed,Express,10.86,0.0,48.48,751.88
323,12824,2025-07-06,4,9,Completed,Standard,4.64,0.0,1.58,28.81
324,5757,2025-04-22,1,2,Completed,Standard,4.43,15.95,11.07,173.69
325,7998,2025-12-31,2,4,Completed,Express,12.62,0.0,7.19,122.5
326,5412,2025-03-03,7,16,Completed,Next-Day,27.12,19.14,12.58,219.38
327,6519,2025-07-29,1,2,Completed,Next-Day,17.61,16.94,36.01,568.01
328,5880,2023-05-31,5,11,Completed,Express,12.35,2.68,7.98,134.27
329,9039,2025-06-20,1,1,Completed,Standard,4.65,21.67,79.82,1224.71
330,1052,2024-11-12,4,9,Returned,Economy,2.88,45.76,64.48,988.52
331,1017,2025-12-08,2,4,Completed,Standard,4.34,1.04,21.55,333.79
332,12251,2025-10-04,7,16,Completed,Standard,6.97,6.72,8.94,143.59
333,6334,2025-07-25,2,4,Cancelled,Economy,2.66,55.17,44.79,687.33
334,13160,2024-05-05,3,5,Completed,Standard,4.09,6.03,27.06,417.72
335,13399,2025-10-29,2,4,Completed,Express,13.09,0.0,25.22,398.54
336,6300,2025-03-15,5,10,Completed,Standard,5.71,20.21,5.04,82.69
337,10600,2023-05-22,1,1,Completed,Standard,4.4,0.0,11.91,186.52
338,5911,2025-02-08,4,9,Returned,Next-Day,20.7,40.1,34.89,554.04
339,6315,2024-03-07,7,16,Completed,Economy,3.73,7.15,18.08,280.16
340,10675,2025-12-17,8,18,Completed,Next-Day,30.19,4.13,5.49,114.13
341,6973,2024-10-06,3,5,Completed,Standard,4.06,10.0,23.12,357.45
342,14246,2025-07-25,5,10,Completed,Express,13.5,7.47,65.87,1020.36
343,10045,2025-02-17,4,9,Returned,Express,12.27,0.0,10.13,167.12
344,11702,2025-04-01,7,17,Completed,Express,18.9,0.83,9.29,160.96
345,9680,2025-08-12,8,20,Completed,Express,20.09,3.35,9.05,158.37
346,8822,2025-09-10,1,1,Completed,Standard,4.25,30.78,43.08,662.71
347,14692,2024-07-09,8,18,Completed,Standard,7.49,18.5,21.52,336.49
