return_id,order_id,return_date,return_reason,refund_amount
137,1144,2025-03-27,Damaged,55.93
138,1157,2025-12-23,Poor Quality,481.99
139,1158,2025-10-02,Damaged,37.43
140,1182,2024-02-18,Size Issue,114.0
141,1187,2025-12-16,Late Delivery,357.01
142,1191,2025-09-04,Damaged,226.75
143,1200,2025-06-06,Size Issue,122.27
144,1211,2026-01-23,Size Issue,521.27
145,1229,2025-11-25,Size Issue,39.28
146,1235,2024-12-26,Size Issue,146.24
147,1240,2025-08-17,Late Delivery,246.37
148,1245,2025-02-10,Customer Changed Mind,248.07
149,1258,2025-04-30,Size Issue,55.59
150,1262,2026-01-11,Size Issue,470.99
151,1270,2025-05-08,Damaged,352.86
152,1273,2024-03-25,Late Delivery,68.14
153,1287,2024-11-28,Damaged,204.62
154,1289,2025-02-03,Size Issue,327.35
155,1314,2026-01-02,Damaged,446.65
156,1334,2025-06-27,Damaged,52.48
157,1338,2024-04-21,Wrong Item,388.22
158,1343,2025-11-13,Damaged,115.04
159,1346,2025-03-19,Damaged,486.59
160,1352,2025-08-30,Customer Changed Mind,176.55
161,1369,2024-12-01,Damaged,427.15
162,1374,2025-05-03,Customer Changed Mind,334.69
163,1378,2025-04-27,Wrong Item,767.81
164,1383,2025-10-17,Late Delivery,33.88
165,1384,2025-01-05,Size Issue,222.97
166,1407,2023-10-03,Size Issue,130.72
167,1419,2024-02-22,Damaged,62.24
168,1431,2025-05-23,Damaged,70.7
169,1433,2025-12-31,Wrong Item,41.22
170,1446,2025-06-22,Late Delivery,75.46
171,1447,2025-06-21,Wrong Item,270.02
172,1450,2025-10-19,Late Delivery,110.29
173,1451,2025-04-17,Poor Quality,15.91
174,1452,2023-11-07,Poor Quality,490.93
175,1469,2024-09-10,Size Issue,267.91
176,1470,2025-11-02,Late Delivery,154.57
177,1471,2025-04-28,Wrong Item,52.91
178,1481,2026-01-07,Customer Changed Mind,480.22
179,1495,2025-08-31,Customer Changed Mind,93.2
180,1507,2025-04-02,Customer Changed Mind,66.69
181,1509,2025-08-14,Late Delivery,72.7
182,1518,2023-12-17,Late Delivery,299.71
183,1519,2025-03-29,Late Delivery,220.16
184,1520,2025-05-29,Damaged,171.01
185,1523,2025-11-18,Damaged,92.23
186,1524,2025-08-23,Wrong Item,435.77
187,1527,2025-09-30,Size Issue,382.13
188,1534,2025-09-30,Size Issue,190.5
189,1547,2024-03-20,Poor Quality,14.07
190,1551,2025-08-23,Damaged,36.54
191,1553,2024-05-21,Customer Changed Mind,202.84
192,1560,2025-05-04,Damaged,226.54
193,1565,2025-08-13,Customer Changed Mind,333.24
194,1567,2025-05-11,Poor Quality,507.04
195,1568,2024-03-10,Damaged,52.44
196,1570,2025-11-03,Customer Changed Mind,42.63
197,1574,2024-10-09,Poor Quality,393.07
198,1575,2025-05-11,Size Issue,7.62
199,1576,2025-09-03,Size Issue,423.35
200,1578,2025-01-15,Size Issue,237.45
201,1589,2025-03-03,Poor Quality,399.23
202,1590,2024-05-05,Damaged,86.61
203,1591,2025-02-25,Wrong Item,175.07
204,1597,2025-02-10,Customer Changed Mind,45.82
205,1618,2025-08-16,Size Issue,19.82
206,1622,2025-07-07,Late Delivery,133.9
207,1631,2024-06-15,Damaged,400.15
208,1635,2025-02-26,Damaged,90.86
209,1649,2026-01-13,Late Delivery,584.9
210,1652,2024-10-15,Wrong Item,109.79
211,1666,2025-03-16,Wrong Item,31.25
212,1671,2025-03-19,Customer Changed Mind,157.83
213,1682,2025-04-06,Late Delivery,1042.78
214,1689,2025-10-26,Poor Quality,103.51
215,1701,2023-11-17,Damaged,61.13
216,1706,2026-01-25,Late Delivery,88.48
217,1735,2024-02-03,Size Issue,35.26
218,1738,2025-11-12,Customer Changed Mind,288.73
219,1740,2024-07-12,Customer Changed Mind,11.85
220,1760,2025-01-22,Wrong Item,275.56
221,1766,2024-12-11,Damaged,490.59
222,1775,2025-12-14,Wrong Item,110.52
223,1777,2024-07-08,Wrong Item,270.03
224,1783,2024-08-03,Customer Changed Mind,64.48
225,1784,2025-10-10,Size Issue,556.26
226,1794,2026-01-05,Damaged,70.78
227,1795,2024-07-14,Damaged,51.5
228,1799,2025-12-02,Late Delivery,291.13
229,1809,2023-09-26,Wrong Item,316.27
230,1819,2025-01-16,Wrong Item,149.88
231,1823,2025-07-12,Size Issue,285.5
232,1836,2024-06-02,Poor Quality,272.66
233,1850,2024-06-10,Damaged,225.53
234,1871,2025-05-14,Damaged,308.31
235,1879,2024-11-22,Damaged,209.9
236,1889,2024-12-06,Damaged,614.26
237,1894,2025-02-28,Poor Quality,483.3
238,1900,2025-11-26,Late Delivery,166.98
239,1901,2025-12-28,Damaged,78.43
240,1923,2024-07-04,Wrong Item,76.22
241,1928,2024-02-22,Poor Quality,249.91
242,1937,2024-02-01,Wrong Item,20.24
243,1959,2025-04-21,Size Issue,385.8
244,1963,2025-01-01,Size Issue,140.48
245,1969,2026-01-02,Wrong Item,542.15
246,1977,2025-04-19,Size Issue,49.82
247,1979,2025-11-26,Wrong Item,58.96
248,1986,2025-10-26,Size Issue,61.25
249,1993,2025-08-02,Damaged,49.19
250,1999,2024-12-26,Customer Changed Mind,225.31
251,2003,2024-06-01,Poor Quality,175.43
252,2008,2026-01-10,Damaged,25.94
253,2019,2024-09-22,Poor Quality,610.23
254,2035,2025-05-11,Late Delivery,34.94
255,2037,2024-09-18,Size Issue,122.91
256,2049,2024-10-13,Poor Quality,117.34
257,2051,2024-08-14,Size Issue,701.59
258,2068,2023-07-21,Customer Changed Mind,42.24
259,2073,2025-12-17,Poor Quality,67.92
260,2079,2024-10-22,Customer Changed Mind,52.51
261,2086,2025-07-09,Size Issue,245.19
262,2089,2024-09-18,Customer Changed Mind,410.74
263,2098,2026-01-27,Poor Quality,62.93
264,2100,2025-08-03,Poor Quality,165.99
265,2105,2024-11-02,Damaged,149.83
266,2107,2023-06-08,Size Issue,153.31
267,2137,2025-11-17,Size Issue,134.1
268,2147,2026-01-11,Late Delivery,333.44
269,2154,2025-12-13,Late Delivery,104.92
270,2162,2025-08-22,Poor Quality,41.37
271,2173,2024-05-26,Damaged,600.83
272,2178,2025-05-01,Damaged,1279.5
273,2202,2026-01-03,Late Delivery,661.85
274,2218,2024-04-19,Customer Changed Mind,128.17
275,2224,2024-07-05,Late Delivery,103.35
276,2226,2025-07-28,Size Issue,470.95
277,2242,2025-06-22,Late Delivery,176.65
278,2256,2023-05-09,Customer Changed Mind,26.99
279,2257,2024-11-02,Wrong Item,342.3
280,2258,2024-08-10,Customer Changed Mind,60.91
281,2266,2024-08-25,Wrong Item,390.39
282,2280,2025-11-11,Size Issue,947.48
283,2282,2025-12-20,Customer Changed Mind,97.5
284,2288,2023-11-15,Customer Changed Mind,62.91
285,2294,2025-06-20,Poor Quality,163.36
286,2300,2026-01-26,Late Delivery,53.32
287,2307,2026-01-23,Late Delivery,244.7
288,2311,2025-06-21,Size Issue,261.6
289,2316,2025-06-23,Late Delivery,255.01
290,2324,2025-08-12,Late Delivery,123.62
291,2325,2025-03-13,Customer Changed Mind,284.43
292,2328,2025-07-17,Wrong Item,148.9
293,2330,2025-04-23,Size Issue,105.39
294,2341,2026-01-21,Late Delivery,665.68
295,2349,2026-01-16,Poor Quality,22.9
296,2362,2025-05-16,Customer Changed Mind,193.35
297,2378,2024-06-11,Wrong Item,23.34
298,2388,2025-12-10,Late Delivery,303.41
299,2395,2025-09-10,Late Delivery,241.96
300,2397,2025-05-18,Wrong Item,876.93
301,2407,2024-01-02,Size Issue,54.59
302,2421,2025-12-30,Damaged,474.96
303,2433,2024-07-15,Late Delivery,53.16
304,2458,2024-07-19,Customer Changed Mind,146.92
305,2462,2025-07-02,Poor Quality,175.22
306,2467,2025-12-02,Damaged,166.36
307,2468,2025-12-08,Poor Quality,382.42
308,2471,2025-11-18,Size Issue,24.36
309,2494,2023-12-09,Wrong Item,128.22
310,2496,2025-06-11,Damaged,465.7
311,2498,2024-09-08,Customer Changed Mind,329.16
312,2509,2025-09-09,Late Delivery,83.25
313,2530,2025-07-14,Size Issue,112.86
314,2533,2025-08-31,Poor Quality,209.89
315,2534,2025-05-11,Poor Quality,547.56
316,2535,2025-05-13,Customer Changed Mind,118.69
317,2553,2025-01-23,Late Delivery,60.84
318,2558,2025-01-03,Size Issue,96.45
319,2561,2024-08-10,Size Issue,462.31
320,2569,2024-02-23,Wrong Item,32.99
321,2570,2023-12-12,Poor Quality,10.16
322,2584,2025-03-11,Size Issue,456.36
323,2589,2024-09-28,Poor Quality,28.62
324,2599,2024-11-17,Customer Changed Mind,225.17
325,2601,2024-03-06,Late Delivery,398.0
326,2613,2025-12-11,Poor Quality,172.52
327,2631,2026-01-04,Customer Changed Mind,227.59
328,2635,2025-01-25,Poor Quality,87.71
329,2647,2026-01-20,Wrong Item,215.88
330,2689,2025-10-15,Size Issue,274.42
331,2691,2025-04-21,Size Issue,321.82
332,2699,2025-07-13,Late Delivery,560.24
333,2702,2025-01-10,Damaged,593.16
334,2710,2025-04-19,Customer Changed Mind,91.05
335,2715,2026-01-09,Damaged,157.62
336,2716,2025-11-29,Size Issue,821.85
337,2719,2026-01-26,Size Issue,630.73
338,2724,2025-08-18,Late Delivery,493.87
339,2732,2025-12-23,Customer Changed Mind,274.56
340,2742,2025-04-01,Customer Changed Mind,126.15
341,2746,2025-11-23,Size Issue,112.55
342,2765,2025-12-18,Wrong Item,41.46
343,2775,2025-02-26,Customer Changed Mind,111.41
344,2788,2025-05-15,Size Issue,207.69
345,2796,2026-01-11,Damaged,329.52
346,2810,2025-06-21,Late Delivery,409.71
347,2821,2023-11-12,Customer Changed Mind,358.52
348,2839,2024-05-26,Wrong Item,32.76
349,2846,2026-01-24,Late Delivery,106.15
350,2861,2024-01-08,Late Delivery,35.75
351,2864,2025-10-06,Wrong Item,108.81
352,2870,2024-05-20,Size Issue,437.59
353,2877,2025-04-30,Size Issue,48.33
354,2878,2024-10-03,Poor Quality,70.89
355,2879,2025-12-07,Size Issue,474.11
356,2881,2025-06-04,Late Delivery,40.67
357,2884,2023-08-15,Customer Changed Mind,45.07
358,2887,2025-12-30,Late Delivery,329.91
359,2898,2024-08-26,Poor Quality,43.89
360,2923,2026-01-15,Customer Changed Mind,27.67
361,2935,2025-04-18,Customer Changed Mind,306.78
362,2936,2025-09-20,Late Delivery,41.06
363,2944,2025-12-23,Wrong Item,11.36
364,2954,2024-09-23,Late Delivery,217.94
365,2956,2025-11-26,Late Delivery,142.73
366,2958,2025-08-22,Wrong Item,50.5
367,2961,2024-11-30,Late Delivery,786.44
368,2963,2024-10-19,Size Issue,430.51
369,2981,2025-06-08,Size Issue,834.12
370,2983,2025-12-27,Late Delivery,428.54
371,3016,2024-10-03,Customer Changed Mind,71.47
372,3020,2024-10-23,Size Issue,105.53
373,3030,2025-12-09,Customer Changed Mind,762.66
374,3045,2025-03-16,Customer Changed Mind,190.77
375,3046,2024-12-02,Damaged,98.43
376,3047,2024-11-15,Poor Quality,118.16
377,3054,2024-11-10,Late Delivery,156.32
378,3059,2026-01-13,Size Issue,469.67
379,3071,2025-05-27,Damaged,564.36
380,3073,2023-12-08,Wrong Item,771.03
381,3086,2025-05-11,Customer Changed Mind,223.87
382,3094,2025-08-27,Size Issue,166.96
383,3101,2025-09-21,Customer Changed Mind,78.0
384,3104,2024-04-24,Poor Quality,541.91
385,3125,2026-01-03,Customer Changed Mind,84.14
386,3126,2025-08-20,Size Issue,204.1
387,3128,2026-01-13,Size Issue,182.93
388,3139,2025-04-13,Customer Changed Mind,319.64
389,3143,2025-10-14,Size Issue,34.77
390,3152,2025-08-19,Late Delivery,93.13
391,3156,2024-07-31,Customer Changed Mind,26.76
392,3166,2025-12-19,Size Issue,17.13
393,3184,2025-04-24,Damaged,490.77
394,3186,2025-08-23,Late Delivery,63.23
395,3202,2025-12-08,Size Issue,35.22
396,3220,2025-01-05,Late Delivery,48.25
397,3231,2025-12-14,Size Issue,133.69
398,3237,2025-07-25,Late Delivery,114.68
399,3241,2025-12-28,Damaged,46.88
400,3248,2025-10-26,Customer Changed Mind,267.59
401,3261,2025-01-06,Poor Quality,117.32
402,3281,2023-08-14,Wrong Item,33.52
403,3286,2025-12-20,Late Delivery,356.78
404,3296,2024-12-20,Wrong Item,182.53
405,3305,2024-06-13,Damaged,1391.24
406,3313,2026-01-03,Late Delivery,408.55
407,3316,2025-09-19,Customer Changed Mind,298.17
408,3320,2025-10-04,Damaged,205.65
409,3322,2025-06-18,Size Issue,12.32
410,3325,2024-12-15,Size Issue,78.55
411,3326,2024-09-13,Late Delivery,334.08
412,3334,2025-09-14,Size Issue,201.96
413,3335,2025-10-20,Wrong Item,112.99
414,3336,2025-09-20,Poor Quality,137.16
415,3341,2025-11-15,Late Delivery,753.3
416,3343,2023-12-09,Wrong Item,97.17
417,3344,2024-08-22,Damaged,624.63
418,3350,2024-12-22,Size Issue,50.39
419,3358,2025-01-03,Wrong Item,242.87
420,3359,2025-04-01,Customer Changed Mind,222.08
421,3375,2025-06-10,Wrong Item,31.55
422,3396,2024-01-15,Poor Quality,37.55
423,3399,2025-11-28,Customer Changed Mind,97.61
424,3405,2025-12-23,Damaged,72.45
425,3406,2025-12-01,Wrong Item,28.8
426,3407,2024-06-02,Customer Changed Mind,106.39
427,3414,2025-11-10,Size Issue,532.14
428,3424,2025-09-12,Customer Changed Mind,108.93
429,3425,2025-09-02,Customer Changed Mind,93.57
430,3428,2026-01-13,Damaged,194.47
431,3429,2026-01-03,Late Delivery,441.33
432,3433,2025-07-24,Late Delivery,170.13
433,3436,2024-07-03,Customer Changed Mind,114.8
434,3447,2025-07-31,Size Issue,365.64
435,3449,2025-01-08,Damaged,280.31
436,3453,2026-01-04,Late Delivery,12.93
437,3464,2025-11-08,Poor Quality,422.4
438,3477,2025-12-30,Damaged,396.27
439,3483,2025-04-01,Damaged,72.55
440,3485,2025-01-24,Damaged,371.64
441,3495,2024-08-05,Size Issue,1097.91
442,3496,2024-12-18,Late Delivery,329.74
443,3501,2025-12-02,Late Delivery,300.69
444,3513,2025-02-21,Damaged,353.2
445,3515,2025-08-30,Size Issue,38.6
446,3519,2025-08-06,Poor Quality,29.29
447,3530,2024-04-25,Wrong Item,597.73
448,3540,2025-08-09,Late Delivery,139.42
449,3553,2024-04-27,Poor Quality,90.76
450,3581,2025-10-22,Size Issue,156.09
451,3582,2024-01-19,Customer Changed Mind,373.54
452,3583,2026-01-17,Poor Quality,31.68
453,3595,2025-11-26,Poor Quality,154.35
454,3598,2024-07-23,Size Issue,179.23
455,3604,2025-07-05,Damaged,60.12
456,3607,2025-06-02,Size Issue,281.03
457,3610,2024-05-16,Wrong Item,56.9
458,3618,2024-09-19,Poor Quality,81.34
459,3630,2025-11-17,Poor Quality,51.0
460,3638,2026-01-15,Poor Quality,12.31
461,3639,2025-06-14,Size Issue,514.14
462,3645,2024-05-14,Damaged,264.31
463,3650,2025-01-24,Wrong Item,879.57
464,3654,2024-05-17,Poor Quality,589.92
465,3669,2023-09-19,Poor Quality,1028.56
466,3700,2025-03-13,Wrong Item,41.47
467,3706,2025-04-09,Poor Quality,302.85
468,3707,2025-10-07,Customer Changed Mind,130.24
469,3720,2024-05-16,Size Issue,185.77
470,3726,2025-07-21,Wrong Item,440.13
471,3746,2025-08-04,Wrong Item,36.79
472,3747,2025-12-31,Poor Quality,169.31
473,3784,2025-11-25,Damaged,184.04
474,3793,2023-10-29,Size Issue,155.54
475,3809,2024-12-29,Poor Quality,561.53
476,3812,2025-01-28,Damaged,183.79
477,3815,2024-03-14,Poor Quality,306.1
478,3816,2024-01-21,Size Issue,56.96
479,3818,2026-01-06,Late Delivery,254.6
480,3824,2023-12-18,Size Issue,70.84
481,3825,2025-11-08,Size Issue,11.49
482,3831,2023-07-18,Size Issue,650.86
483,3848,2025-01-16,Damaged,230.04
484,3853,2024-09-11,Wrong Item,137.13
485,3855,2024-11-20,Size Issue,54.03
486,3859,2025-05-04,Poor Quality,134.31
487,3862,2025-08-19,Late Delivery,33.1
488,3876,2026-01-28,Size Issue,33.55
489,3886,2025-06-04,Late Delivery,66.55
490,3891,2026-01-01,Poor Quality,535.88
491,3894,2025-10-02,Size Issue,101.8
492,3901,2025-11-21,Size Issue,193.15
493,3903,2025-10-16,Late Delivery,108.03
494,3911,2025-11-19,poor quality,711.98
495,3935,2025-11-18,Poor Quality,397.41
496,3942,2025-05-09,Size Issue,202.15
497,3945,2025-10-29,Customer Changed Mind,503.92
498,3954,2025-09-04,Damaged,63.89
499,3971,2025-12-02,Wrong Item,32.6
500,3975,2026-01-18,Damaged,1076.03
501,3985,2025-01-27,Poor Quality,136.07
502,3987,2026-01-18,Size Issue,259.14
503,3999,2026-01-14,Customer Changed Mind,287.59
504,4002,2025-03-07,Size Issue,112.37
505,4008,2024-03-14,Damaged,105.96
506,4009,2025-06-12,Damaged,314.69
507,4012,2025-08-04,Customer Changed Mind,165.41
508,4013,2026-01-17,Poor Quality,508.4
509,4017,2025-07-04,Poor Quality,35.04
510,4051,2025-12-13,Size Issue,168.68
511,4074,2024-05-14,Poor Quality,106.09
512,4083,2025-12-04,Damaged,692.9
513,4086,2025-09-18,Late Delivery,285.77
514,4101,2026-01-02,Size Issue,378.06
515,4109,2025-05-12,Wrong Item,275.93
516,4125,2025-11-08,Wrong Item,275.67
517,4155,2025-06-29,Size Issue,33.7
518,4162,2024-10-12,Poor Quality,252.77
519,4167,2025-01-18,Damaged,118.34
520,4171,2024-07-13,Customer Changed Mind,716.06
521,4183,2025-08-18,Poor Quality,229.21
522,4189,2025-05-23,Damaged,113.36
523,4204,2025-07-30,Damaged,448.37
524,4207,2025-10-04,Damaged,76.7
525,4222,2025-04-29,Late Delivery,79.2
526,4223,2024-10-16,Damaged,26.83
527,4240,2025-10-04,Wrong Item,171.19
528,4241,2025-12-03,Size Issue,6.07
529,4251,2024-08-05,Wrong Item,124.88
530,4259,2025-04-30,Customer Changed Mind,273.48
531,4285,2025-09-12,Wrong Item,19.05
532,4292,2024-11-13,Poor Quality,100.19
533,4295,2024-12-28,Late Delivery,117.26
534,4302,2025-10-20,Size Issue,42.71
535,4304,2025-11-27,Poor Quality,432.81
536,4312,2023-12-11,Size Issue,354.61
537,4320,2025-01-22,Wrong Item,28.98
538,4325,2025-12-03,Wrong Item,257.26
539,4331,2025-04-04,Customer Changed Mind,306.37
540,4332,2025-06-20,Size Issue,487.03
541,4357,2023-11-10,Size Issue,410.42
542,4375,2024-09-20,Damaged,73.95
543,4378,2025-12-16,Customer Changed Mind,449.72
544,4383,2024-12-30,Late Delivery,284.84
545,4404,2024-08-16,Wrong Item,88.22
546,4405,2025-04-09,Late Delivery,362.41
547,4410,2024-08-18,Poor Quality,430.72
548,4416,2024-11-07,Customer Changed Mind,318.51
549,4422,2024-04-10,Customer Changed Mind,106.22
550,4426,2025-09-30,Customer Changed Mind,73.52
551,4431,2024-11-09,Customer Changed Mind,259.11
552,4455,2025-09-03,Size Issue,585.75
553,4463,2024-10-21,Damaged,98.77
554,4479,2025-08-04,Late Delivery,403.52
555,4490,2025-04-03,Late Delivery,112.36
556,4495,2024-12-25,Size Issue,36.0
557,4515,2024-06-29,Poor Quality,87.5
558,4517,2024-06-23,Size Issue,161.04
559,4523,2025-12-04,Poor Quality,338.54
560,4526,2025-09-12,Size Issue,51.81
561,4534,2024-09-28,Damaged,344.54
562,4535,2025-07-19,Size Issue,385.91
563,4544,2025-10-23,Late Delivery,56.09
564,4565,2025-09-13,Size Issue,994.52
565,4573,2025-12-28,Damaged,345.79
566,4587,2025-05-26,Size Issue,215.61
567,4593,2026-01-21,Poor Quality,215.29
568,4607,2025-05-30,Size Issue,614.28
569,4612,2025-06-11,Damaged,32.65
570,4614,2025-06-17,Size Issue,50.57
571,4618,2024-05-27,Poor Quality,74.85
572,4624,2025-10-27,Late Delivery,162.37
573,4629,2024-12-09,Size Issue,386.89
574,4630,2025-05-21,Late Delivery,300.42
575,4635,2025-08-19,Damaged,82.64
576,4645,2024-01-28,Customer Changed Mind,29.88
577,4662,2025-02-08,Customer Changed Mind,99.21
578,4665,2025-10-06,Size Issue,27.52
579,4673,2024-01-09,Customer Changed Mind,557.59
580,4690,2024-09-19,Customer Changed Mind,64.75
581,4696,2025-10-06,Wrong Item,120.38
582,4708,2026-01-23,Poor Quality,66.38
583,4712,2025-07-19,Poor Quality,48.93
584,4715,2025-11-14,Size Issue,45.06
585,4722,2024-09-24,Customer Changed Mind,35.27
586,4730,2025-04-04,Damaged,573.22
587,4734,2025-05-08,Late Delivery,82.79
588,4738,2024-12-28,Damaged,223.47
589,4739,2025-11-21,Customer Changed Mind,166.57
590,4743,2025-12-19,Size Issue,120.13
591,4746,2025-11-25,Size Issue,185.14
592,4748,2025-04-26,Wrong Item,465.82
593,4753,2025-10-03,Late Delivery,109.53
594,4773,2024-08-13,Poor Quality,28.71
595,4791,2025-08-30,Damaged,497.63
596,4800,2023-12-31,Poor Quality,43.36
597,4811,2025-12-22,Late Delivery,320.54
598,4829,2025-11-24,Poor Quality,260.77
599,4854,2025-10-23,Late Delivery,124.72
600,4889,2024-12-31,Late Delivery,62.11
601,4897,2025-01-31,Poor Quality,196.75
602,4902,2025-05-23,Damaged,110.51
603,4907,2025-11-14,Late Delivery,88.11
604,4910,2024-11-05,Late Delivery,67.26
605,4911,2026-01-21,Customer Changed Mind,75.2
606,4914,2024-04-14,Customer Changed Mind,466.3
607,4923,2023-10-10,Damaged,141.46
608,4930,2025-12-17,Wrong Item,40.84
609,4931,2025-08-20,Wrong Item,148.5
610,4933,2025-05-11,Poor Quality,70.25
611,4935,2026-01-12,Customer Changed Mind,193.31
612,4947,2025-12-21,Damaged,10.79
613,4963,2025-12-09,Wrong Item,87.09
614,4968,2025-09-01,Wrong Item,83.88
