order_item_id,order_id,product_id,quantity,unit_price,discount_percent,discount_amount,item_revenue,unit_cost,total_cost,gross_profit
139,67,494,2,50.97,0.1,10.19,91.75,38.58,77.16,14.59
140,68,148,2,48.67,0.1,9.73,87.61,35.24,70.48,17.13
141,69,313,1,34.25,0.0,0.0,34.25,25.34,25.34,8.91
142,70,374,3,12.26,0.05,1.84,34.94,4.94,14.82,20.12
143,71,313,2,35.09,0.05,3.51,66.67,25.34,50.68,15.99
144,71,100,2,10.54,0.0,0.0,21.08,6.63,13.26,7.82
145,71,454,1,29.04,0.05,1.45,27.59,16.47,16.47,11.12
146,71,406,2,24.94,0.0,0.0,49.88,17.71,35.42,14.46
147,72,479,1,111.39,0.15,16.71,94.68,58.89,58.89,35.79
148,72,365,1,34.82,0.0,0.0,34.82,9.06,9.06,25.76
149,73,350,2,39.23,0.05,3.92,74.54,18.89,37.78,36.76
150,73,104,2,8.5,0.1,1.7,15.3,6.0,12.0,3.3
151,74,369,2,32.03,0.15,9.61,54.45,10.81,21.62,32.83
152,75,100,1,10.37,0.0,0.0,10.37,6.63,6.63,3.74
153,75,268,2,7.55,0.0,0.0,15.1,5.5,11.0,4.1
154,76,28,3,83.12,0.05,12.47,236.89,79.57,238.71,-1.82
155,76,329,2,26.32,0.0,0.0,52.64,18.77,37.54,15.1
156,77,148,2,47.67,0.05,4.77,90.57,35.24,70.48,20.09
157,78,148,2,47.08,0.0,0.0,94.16,35.24,70.48,23.68
158,78,100,2,10.4,0.0,0.0,20.8,6.63,13.26,7.54
159,78,313,3,34.51,0.15,15.53,88.0,25.34,76.02,11.98
160,79,245,2,30.99,0.0,0.0,61.98,23.38,46.76,15.22
161,80,155,2,104.27,0.1,20.85,187.69,71.03,142.06,45.63
162,81,10,1,335.54,0.2,67.11,268.43,271.08,271.08,-2.65
163,81,330,3,37.32,0.05,5.6,106.36,23.14,69.42,36.94
164,81,202,2,9.21,0.0,0.0,18.42,5.23,10.46,7.96
165,82,125,1,47.98,0.0,0.0,47.98,25.9,25.9,22.08
166,82,469,2,147.58,0.0,0.0,295.16,67.39,134.78,160.38
167,82,329,2,26.95,0.0,0.0,53.9,18.77,37.54,16.36
168,83,148,1,46.98,0.0,0.0,46.98,35.24,35.24,11.74
169,84,104,3,8.59,0.0,0.0,25.77,6.0,18.0,7.77
170,84,3,1,463.43,0.0,0.0,463.43,402.2,402.2,61.23
171,84,313,3,34.86,0.0,0.0,104.58,25.34,76.02,28.56
172,85,473,3,81.07,0.0,0.0,243.21,37.06,111.18,132.03
173,85,222,2,34.79,0.25,17.4,52.18,16.89,33.78,18.4
174,86,13,1,84.41,0.0,0.0,84.41,71.12,71.12,13.29
175,86,3,1,496.06,0.1,49.61,446.45,402.2,402.2,44.25
176,86,176,1,27.75,0.05,1.39,26.36,13.22,13.22,13.14
177,87,478,2,62.06,0.0,0.0,124.12,32.42,64.84,59.28
178,88,450,1,26.29,0.0,0.0,26.29,19.15,19.15,7.14
179,89,329,1,26.35,0.2,5.27,21.08,18.77,18.77,2.31
180,90,159,1,44.21,0.3,13.26,30.95,27.55,27.55,3.4
181,90,262,2,25.76,0.05,2.58,48.94,18.65,37.3,11.64
182,91,236,3,38.6,0.0,0.0,115.8,24.96,74.88,40.92
183,92,476,2,52.54,0.2,21.02,84.06,29.05,58.1,25.96
184,93,420,2,25.24,0.05,2.52,47.96,16.7,33.4,14.56
185,94,104,6,8.41,0.2,10.09,40.37,6.0,36.0,4.37
186,95,177,1,5.34,0.2,1.07,4.27,1.59,1.59,2.68
187,96,313,2,34.76,0.1,6.95,62.57,25.34,50.68,11.89
188,97,463,3,90.17,0.0,0.0,270.51,60.81,182.43,88.08
189,97,431,2,75.65,0.3,45.39,105.91,52.94,105.88,0.03
190,97,309,1,39.35,0.15,5.9,33.45,20.47,20.47,12.98
191,97,174,5,7.52,0.15,5.64,31.96,5.08,25.4,6.56
192,98,133,1,146.58,0.05,7.33,139.25,106.1,106.1,33.15
193,98,293,1,22.54,0.0,0.0,22.54,15.18,15.18,7.36
194,99,27,1,521.71,0.1,52.17,469.54,426.59,426.59,42.95
195,99,328,1,23.94,0.1,2.39,21.55,8.39,8.39,13.16
196,100,394,5,27.62,0.1,13.81,124.29,20.62,103.1,21.19
197,100,365,2,34.34,0.15,10.3,58.38,9.06,18.12,40.26
198,101,186,3,8.38,0.0,0.0,25.14,5.41,16.23,8.91
199,101,118,4,7.03,0.0,0.0,28.12,2.0,8.0,20.12
200,102,215,5,32.56,0.1,16.28,146.52,17.19,85.95,60.57
201,103,96,3,29.12,0.2,17.47,69.89,7.3,21.9,47.99
202,104,479,1,109.18,0.05,5.46,103.72,58.89,58.89,44.83
203,104,313,3,33.96,0.05,5.09,96.79,25.34,76.02,20.77
204,105,148,2,47.57,0.05,4.76,90.38,35.24,70.48,19.9
205,106,465,4,25.29,0.3,30.35,70.81,12.47,49.88,20.93
206,107,331,1,32.77,0.0,0.0,32.77,19.33,19.33,13.44
207,107,335,1,16.0,0.15,2.4,13.6,9.53,9.53,4.07
208,107,330,1,37.44,0.1,3.74,33.7,23.14,23.14,10.56
209,107,3,1,490.65,0.15,73.6,417.05,402.2,402.2,14.85
210,108,237,1,95.29,0.1,9.53,85.76,57.42,57.42,28.34
211,108,215,2,31.7,0.1,6.34,57.06,17.19,34.38,22.68
212,108,109,2,17.75,0.2,7.1,28.4,9.9,19.8,8.6
213,109,129,2,25.76,0.0,0.0,51.52,14.4,28.8,22.72
214,109,110,4,17.29,0.2,13.83,55.33,6.43,25.72,29.61
215,110,491,2,82.61,0.0,0.0,165.22,62.58,125.16,40.06
216,110,148,2,48.1,0.05,4.81,91.39,35.24,70.48,20.91
217,110,174,3,7.46,0.05,1.12,21.26,5.08,15.24,6.02
218,111,10,1,325.4,0.15,48.81,276.59,271.08,271.08,5.51
219,111,303,2,19.36,0.1,3.87,34.85,14.04,28.08,6.77
220,111,129,5,24.73,0.05,6.18,117.47,14.4,72.0,45.47
221,111,451,2,147.21,0.25,73.6,220.82,94.09,188.18,32.64
222,111,328,1,24.95,0.15,3.74,21.21,8.39,8.39,12.82
223,112,413,2,20.31,0.0,0.0,40.62,13.28,26.56,14.06
224,112,479,1,111.4,0.05,5.57,105.83,58.89,58.89,46.94
225,112,364,3,40.66,0.3,36.59,85.39,14.8,44.4,40.99
226,113,225,2,92.59,0.05,9.26,175.92,51.34,102.68,73.24
227,113,29,1,211.06,0.15,31.66,179.4,91.78,91.78,87.62
228,114,324,2,58.7,0.0,0.0,117.4,45.59,91.18,26.22
229,114,35,1,406.28,0.0,0.0,406.28,362.2,362.2,44.08
230,115,3,1,478.53,0.2,95.71,382.82,402.2,402.2,-19.38
231,115,82,2,100.28,0.0,0.0,200.56,55.52,111.04,89.52
232,115,169,3,39.82,0.1,11.95,107.51,12.68,38.04,69.47
233,116,431,2,74.65,0.2,29.86,119.44,52.94,105.88,13.56
234,117,1,1,195.71,0.1,19.57,176.14,172.63,172.63,3.51
235,117,259,1,7.72,0.0,0.0,7.72,4.46,4.46,3.26
236,117,245,1,30.61,0.0,0.0,30.61,23.38,23.38,7.23
237,118,248,3,140.3,0.0,0.0,420.9,62.0,186.0,234.9
238,118,100,1,10.73,0.2,2.15,8.58,6.63,6.63,1.95
239,118,236,1,38.98,0.25,9.74,29.24,24.96,24.96,4.28
240,119,313,2,35.73,0.0,0.0,71.46,25.34,50.68,20.78
241,119,198,1,6.56,0.1,0.66,5.9,3.43,3.43,2.47
242,119,51,3,102.75,0.05,15.41,292.84,94.61,283.83,9.01
243,120,186,3,8.12,0.0,0.0,24.36,5.41,16.23,8.13
244,120,256,2,13.38,0.25,6.69,20.07,7.27,14.54,5.53
245,121,371,1,12.81,0.1,1.28,11.53,6.45,6.45,5.08
246,122,257,2,31.58,0.1,6.32,56.84,15.93,31.86,24.98
247,122,313,2,34.56,0.0,0.0,69.12,25.34,50.68,18.44
248,123,162,2,24.28,0.25,12.14,36.42,15.67,31.34,5.08
249,123,174,2,7.52,0.3,4.51,10.53,5.08,10.16,0.37
250,124,375,1,13.86,0.0,0.0,13.86,5.57,5.57,8.29
251,124,236,1,39.44,0.1,3.94,35.5,24.96,24.96,10.54
252,125,135,1,59.27,0.15,8.89,50.38,30.21,30.21,20.17
253,125,127,2,79.18,0.1,15.84,142.52,53.56,107.12,35.4
254,125,38,1,476.84,0.3,143.05,333.79,382.42,382.42,-48.63
255,126,100,2,10.49,0.0,0.0,20.98,6.63,13.26,7.72
256,126,288,2,5.63,0.0,0.0,11.26,2.78,5.56,5.7
257,126,1,2,197.51,0.0,0.0,395.02,172.63,345.26,49.76
258,127,27,1,518.16,0.0,0.0,518.16,426.59,426.59,91.57
259,127,442,2,83.41,0.1,16.68,150.14,49.0,98.0,52.14
260,127,431,1,74.94,0.25,18.74,56.2,52.94,52.94,3.26
261,127,313,2,34.81,0.2,13.92,55.7,25.34,50.68,5.02
262,128,91,3,5.74,0.0,0.0,17.22,3.91,11.73,5.49
263,128,245,1,30.82,0.05,1.54,29.28,23.38,23.38,5.9
264,128,313,2,35.64,0.0,0.0,71.28,25.34,50.68,20.6
265,128,261,5,56.41,0.0,0.0,282.05,53.65,268.25,13.8
266,128,129,3,24.5,0.0,0.0,73.5,14.4,43.2,30.3
267,129,148,5,47.63,0.0,0.0,238.15,35.24,176.2,61.95
268,130,13,3,82.96,0.05,12.44,236.44,71.12,213.36,23.08
269,130,1,2,191.33,0.15,57.4,325.26,172.63,345.26,-20.0
270,131,155,4,108.41,0.25,108.41,325.23,71.03,284.12,41.11
271,132,457,1,34.25,0.3,10.28,23.97,19.24,19.24,4.73
272,132,177,3,5.2,0.2,3.12,12.48,1.59,4.77,7.71
273,132,193,1,12.82,0.1,1.28,11.54,6.21,6.21,5.33
274,133,313,1,35.02,0.05,1.75,33.27,25.34,25.34,7.93
275,133,153,2,32.28,0.0,0.0,64.56,10.37,20.74,43.82
276,134,43,2,32.51,0.0,0.0,65.02,19.72,39.44,25.58
277,134,471,1,53.56,0.0,0.0,53.56,29.32,29.32,24.24
278,135,365,2,35.85,0.0,0.0,71.7,9.06,18.12,53.58
279,135,313,2,34.65,0.3,20.79,48.51,25.34,50.68,-2.17
280,135,313,2,35.79,0.05,3.58,68.0,25.34,50.68,17.32
281,135,326,6,58.46,0.05,17.54,333.22,25.09,150.54,182.68
282,136,245,2,30.97,0.1,6.19,55.75,23.38,46.76,8.99
283,136,229,3,39.34,0.0,0.0,118.02,27.33,81.99,36.03
284,137,349,1,7.99,0.15,1.2,6.79,3.95,3.95,2.84
285,137,373,2,55.29,0.3,33.17,77.41,16.86,33.72,43.69
286,137,36,1,229.52,0.25,57.38,172.14,177.26,177.26,-5.12
287,137,313,1,34.48,0.2,6.9,27.58,25.34,25.34,2.24
288,138,1,2,196.79,0.15,59.04,334.54,172.63,345.26,-10.72
289,139,10,1,331.42,0.05,16.57,314.85,271.08,271.08,43.77
290,139,104,1,8.41,0.3,2.52,5.89,6.0,6.0,-0.11
291,139,467,3,35.44,0.15,15.95,90.37,19.57,58.71,31.66
292,139,10,1,337.53,0.05,16.88,320.65,271.08,271.08,49.57
293,139,103,3,23.28,0.1,6.98,62.86,10.34,31.02,31.84
294,140,451,1,149.63,0.05,7.48,142.15,94.09,94.09,48.06
295,140,248,4,143.87,0.05,28.77,546.71,62.0,248.0,298.71
296,141,238,3,55.62,0.15,25.03,141.83,22.85,68.55,73.28
297,142,43,1,33.2,0.1,3.32,29.88,19.72,19.72,10.16
298,142,313,1,33.53,0.05,1.68,31.85,25.34,25.34,6.51
299,142,3,1,474.63,0.05,23.73,450.9,402.2,402.2,48.7
300,143,104,1,8.86,0.0,0.0,8.86,6.0,6.0,2.86
301,143,205,1,6.34,0.0,0.0,6.34,3.28,3.28,3.06
302,144,122,3,40.87,0.05,6.13,116.48,17.1,51.3,65.18
303,145,412,1,48.62,0.15,7.29,41.33,27.57,27.57,13.76
304,146,264,2,23.24,0.0,0.0,46.48,20.71,41.42,5.06
305,146,125,2,47.86,0.1,9.57,86.15,25.9,51.8,34.35
306,146,311,1,56.57,0.0,0.0,56.57,26.45,26.45,30.12
307,147,103,1,22.5,0.0,0.0,22.5,10.34,10.34,12.16
308,147,90,3,8.23,0.05,1.23,23.46,4.07,12.21,11.25
309,147,129,2,25.04,0.0,0.0,50.08,14.4,28.8,21.28
310,147,450,2,27.2,0.25,13.6,40.8,19.15,38.3,2.5
311,148,79,2,122.97,0.05,12.3,233.64,77.75,155.5,78.14
312,148,313,3,35.3,0.15,15.88,90.02,25.34,76.02,14.0
313,149,245,3,30.62,0.05,4.59,87.27,23.38,70.14,17.13
314,149,281,2,24.05,0.0,0.0,48.1,18.07,36.14,11.96
315,150,313,1,34.36,0.1,3.44,30.92,25.34,25.34,5.58
316,151,279,2,6.77,0.05,0.68,12.86,4.34,8.68,4.18
317,151,331,2,31.76,0.15,9.53,53.99,19.33,38.66,15.33
318,152,365,2,34.34,0.0,0.0,68.68,9.06,18.12,50.56
319,152,439,2,42.12,0.0,0.0,84.24,35.13,70.26,13.98
320,153,26,3,157.9,0.0,0.0,473.7,114.63,343.89,129.81
321,153,313,1,34.34,0.0,0.0,34.34,25.34,25.34,9.0
322,153,313,1,34.82,0.1,3.48,31.34,25.34,25.34,6.0
323,154,100,2,10.71,0.15,3.21,18.21,6.63,13.26,4.95
324,154,499,2,65.41,0.1,13.08,117.74,38.99,77.98,39.76
325,155,68,2,135.1,0.1,27.02,243.18,79.4,158.8,84.38
326,156,364,2,40.3,0.3,24.18,56.42,14.8,29.6,26.82
327,156,155,1,108.55,0.05,5.43,103.12,71.03,71.03,32.09
328,157,148,1,48.67,0.05,2.43,46.24,35.24,35.24,11.0
329,157,483,1,107.95,0.3,32.38,75.57,64.03,64.03,11.54
330,158,174,1,7.64,0.0,0.0,7.64,5.08,5.08,2.56
331,159,222,1,35.01,0.1,3.5,31.51,16.89,16.89,14.62
332,159,360,2,30.77,0.05,3.08,58.46,12.47,24.94,33.52
333,159,148,5,47.94,0.05,11.98,227.72,35.24,176.2,51.52
334,160,313,2,34.19,0.15,10.26,58.12,25.34,50.68,7.44
335,160,174,1,7.55,0.25,1.89,5.66,5.08,5.08,0.58
336,160,245,5,30.42,0.2,30.42,121.68,23.38,116.9,4.78
337,160,129,2,24.91,0.1,4.98,44.84,14.4,28.8,16.04
338,161,175,3,45.39,0.05,6.81,129.36,16.34,49.02,80.34
339,161,181,1,9.14,0.05,0.46,8.68,5.83,5.83,2.85
340,162,129,2,25.76,0.0,0.0,51.52,14.4,28.8,22.72
341,163,335,1,16.91,0.2,3.38,13.53,9.53,9.53,4.0
342,163,163,1,101.51,0.1,10.15,91.36,73.16,73.16,18.2
343,163,377,1,11.72,0.2,2.34,9.38,3.25,3.25,6.13
344,163,413,2,20.4,0.0,0.0,40.8,13.28,26.56,14.24
345,164,76,2,62.99,0.05,6.3,119.68,40.9,81.8,37.88
346,165,3,1,484.21,0.15,72.63,411.58,402.2,402.2,9.38
347,165,313,2,35.06,0.1,7.01,63.11,25.34,50.68,12.43
348,166,136,4,51.53,0.1,20.61,185.51,34.98,139.92,45.59
349,167,96,3,29.4,0.1,8.82,79.38,7.3,21.9,57.48
350,168,129,3,25.81,0.1,7.74,69.69,14.4,43.2,26.49
351,168,479,3,110.32,0.05,16.55,314.41,58.89,176.67,137.74
352,169,158,1,27.01,0.0,0.0,27.01,23.64,23.64,3.37
353,169,367,5,23.35,0.05,5.84,110.91,8.9,44.5,66.41
354,169,164,3,39.4,0.15,17.73,100.47,30.09,90.27,10.2
355,169,10,1,338.26,0.2,67.65,270.61,271.08,271.08,-0.47
356,170,313,2,34.54,0.0,0.0,69.08,25.34,50.68,18.4
357,170,116,1,8.65,0.2,1.73,6.92,3.44,3.44,3.48
358,171,3,1,484.07,0.0,0.0,484.07,402.2,402.2,81.87
359,172,87,1,44.93,0.3,13.48,31.45,22.51,22.51,8.94
360,172,400,6,51.6,0.1,30.96,278.64,41.72,250.32,28.32
361,173,366,1,40.3,0.3,12.09,28.21,10.29,10.29,17.92
362,173,3,1,471.44,0.05,23.57,447.87,402.2,402.2,45.67
363,174,116,1,8.29,0.05,0.41,7.88,3.44,3.44,4.44
364,175,84,2,30.64,0.05,3.06,58.22,14.23,28.46,29.76
365,176,313,1,33.74,0.0,0.0,33.74,25.34,25.34,8.4
366,177,104,2,8.64,0.15,2.59,14.69,6.0,12.0,2.69
367,177,60,3,34.99,0.2,20.99,83.98,10.81,32.43,51.55
368,177,20,1,549.11,0.2,109.82,439.29,406.76,406.76,32.53
369,177,223,4,124.69,0.15,74.81,423.95,76.25,305.0,118.95
370,177,407,2,17.68,0.2,7.07,28.29,11.53,23.06,5.23
371,178,447,2,45.9,0.1,9.18,82.62,33.7,67.4,15.22
372,178,43,3,32.03,0.0,0.0,96.09,19.72,59.16,36.93
373,178,368,2,50.83,0.1,10.17,91.49,31.51,63.02,28.47
374,178,234,1,74.91,0.0,0.0,74.91,48.27,48.27,26.64
375,179,177,1,5.19,0.3,1.56,3.63,1.59,1.59,2.04
376,179,425,3,107.14,0.0,0.0,321.42,60.34,181.02,140.4
377,180,313,4,34.83,0.0,0.0,139.32,25.34,101.36,37.96
378,180,469,2,149.88,0.0,0.0,299.76,67.39,134.78,164.98
379,181,36,1,225.76,0.15,33.86,191.9,177.26,177.26,14.64
380,181,465,3,25.27,0.2,15.16,60.65,12.47,37.41,23.24
381,181,313,3,34.89,0.05,5.23,99.44,25.34,76.02,23.42
382,182,364,2,41.37,0.3,24.82,57.92,14.8,29.6,28.32
383,182,148,1,47.36,0.25,11.84,35.52,35.24,35.24,0.28
384,182,313,4,35.41,0.25,35.41,106.23,25.34,101.36,4.87
385,183,479,2,109.76,0.25,54.88,164.64,58.89,117.78,46.86
